epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3969,1.2021,7.10849,1.43156,0.29773,0.14938,0.04342,0.02551,1.20437,6.70253,1.38792,9.36e-06,9.36e-06,9.36e-06
2,101.83,1.25918,6.08796,1.439,0.23726,0.1,0.05449,0.03617,1.16709,6.58345,1.37333,1.35876e-05,1.35876e-05,1.35876e-05
3,153.046,1.13648,5.60104,1.38314,0.02652,0.16667,0.05008,0.02631,1.16861,6.5685,1.36948,1.0608e-05,1.0608e-05,1.0608e-05
